model,sample_id,first_recorded_mismatch,final_match
gpt56luna,S091,art5,False
gpt56luna,S092,art5,True
gpt56luna,S093,art5,False
gpt56luna,S094,none,True
gpt56luna,S095,none,True
gpt56luna,S096,art5,False
gpt56luna,S097,none,True
gpt56luna,S098,art5,False
gpt56luna,S099,none,True
gpt56luna,S100,none,True
gpt56luna,S101,art5,True
gpt56luna,S102,art5,False
gpt56luna,S103,art5,False
gpt56luna,S104,art5,False
gpt56luna,S105,none,True
gpt56luna,S106,art5,False
gpt56luna,S107,none,True
gpt56luna,S108,art5,False
gpt56luna,S109,none,True
gpt56luna,S110,none,True
gpt56luna,S111,none,True
gpt56luna,S112,none,True
gpt56luna,S113,none,True
gpt56luna,S114,art5,False
gpt56luna,S115,art5,False
gpt56luna,S116,art5,False
gpt56luna,S117,none,True
gpt56luna,S118,art5,False
gpt56luna,S119,none,True
gpt56luna,S120,none,False
gpt56luna,S121,art5,False
gpt56luna,S122,art5,True
gpt56luna,S123,annex_iii,True
gpt56luna,S124,art5,False
gpt56luna,S125,art5,False
gpt56luna,S126,none,True
gpt56luna,S127,art50,True
gpt56luna,S128,art5,False
gpt56luna,S129,art5,False
gpt56luna,S130,none,True
gpt56luna,S131,none,True
gpt56luna,S132,none,True
gpt56luna,S133,none,True
gpt56luna,S134,art5,False
gpt56luna,S135,art5,False
gpt56luna,S136,none,True
gpt56luna,S137,art5,False
gpt56luna,S138,annex_iii,True
gpt56luna,S139,none,True
gpt56luna,S140,annex_i,False
gpt56luna,S141,none,True
gpt56luna,S142,annex_iii,True
gpt56luna,S143,art5,False
gpt56luna,S144,annex_iii,False
gpt56luna,S145,none,True
gpt56luna,S146,annex_iii,True
gpt56luna,S147,none,True
gpt56luna,S148,none,True
gpt56luna,S149,none,True
gpt56luna,S150,none,True
gpt56sol,S001,none,True
gpt56sol,S002,none,True
gpt56sol,S003,none,True
gpt56sol,S004,none,True
gpt56sol,S005,annex_iii,False
gpt56sol,S006,none,True
gpt56sol,S007,annex_iii,False
gpt56sol,S008,none,True
gpt56sol,S009,none,True
gpt56sol,S010,derogation,True
gpt56sol,S011,art5,False
gpt56sol,S012,none,True
gpt56sol,S013,none,True
gpt56sol,S014,none,True
gpt56sol,S015,none,True
gpt56sol,S016,none,True
gpt56sol,S017,none,True
gpt56sol,S018,none,True
gpt56sol,S020,none,True
gpt56sol,S021,none,True
gpt56sol,S022,none,True
gpt56sol,S023,none,True
gpt56sol,S024,none,True
gpt56sol,S025,derogation,True
gpt56sol,S027,none,True
gpt56sol,S029,none,True
gpt56sol,S030,none,True
gpt56sol,S031,none,True
gpt56sol,S032,art5,True
gpt56sol,S033,art5,False
gpt56sol,S034,none,True
gpt56sol,S035,none,True
gpt56sol,S036,art50,True
gpt56sol,S037,none,True
gpt56sol,S038,none,True
gpt56sol,S039,profiling,True
gpt56sol,S040,none,True
gpt56sol,S042,none,True
gpt56sol,S043,none,True
gpt56sol,S044,none,True
gpt56sol,S045,art5,False
gpt56sol,S046,annex_iii,False
gpt56sol,S047,none,True
gpt56sol,S048,none,True
gpt56sol,S049,derogation,False
gpt56sol,S050,none,True
gpt56sol,S051,none,True
gpt56sol,S052,none,True
gpt56sol,S053,art5,True
gpt56sol,S054,none,True
gpt56sol,S055,none,True
gpt56sol,S056,art5,True
gpt56sol,S057,none,True
gpt56sol,S058,none,True
gpt56sol,S060,none,True
gpt56sol,S061,profiling,True
gpt56sol,S062,none,True
gpt56sol,S063,none,True
gpt56sol,S064,none,True
gpt56sol,S065,none,True
gpt56sol,S066,none,True
gpt56sol,S068,annex_iii,False
gpt56sol,S069,none,True
gpt56sol,S070,none,True
gpt56sol,S071,none,True
gpt56sol,S072,annex_iii,True
gpt56sol,S073,none,True
gpt56sol,S074,none,True
gpt56sol,S075,none,True
gpt56sol,S076,none,True
gpt56sol,S077,none,True
gpt56sol,S078,art5,False
gpt56sol,S079,art5,True
gpt56sol,S080,none,True
gpt56sol,S081,annex_iii,False
gpt56sol,S082,none,True
gpt56sol,S083,art5,False
gpt56sol,S084,art5,False
gpt56sol,S085,art5,False
gpt56sol,S086,art5,False
gpt56sol,S087,art5,False
gpt56sol,S088,art5,False
gpt56sol,S089,none,True
gpt56sol,S090,none,True
gpt56sol,S091,art5,False
gpt56sol,S092,art5,True
gpt56sol,S093,none,True
gpt56sol,S094,none,True
gpt56sol,S095,none,True
gpt56sol,S096,art5,False
gpt56sol,S097,none,True
gpt56sol,S098,art5,False
gpt56sol,S099,none,True
gpt56sol,S100,none,True
gpt56sol,S101,none,True
gpt56sol,S102,art5,False
gpt56sol,S103,art5,False
gpt56sol,S104,art5,False
gpt56sol,S105,none,True
gpt56sol,S106,art5,False
gpt56sol,S107,none,True
gpt56sol,S108,art5,False
gpt56sol,S109,none,True
gpt56sol,S110,annex_i,False
gpt56sol,S111,none,True
gpt56sol,S112,none,True
gpt56sol,S113,none,True
gpt56sol,S114,art5,False
gpt56sol,S115,art5,False
gpt56sol,S116,art5,False
gpt56sol,S117,none,True
gpt56sol,S118,art5,False
gpt56sol,S119,none,True
gpt56sol,S120,annex_iii,True
gpt56sol,S121,art5,False
gpt56sol,S122,art5,False
gpt56sol,S123,derogation,True
gpt56sol,S124,art5,True
gpt56sol,S125,art5,False
gpt56sol,S126,none,True
gpt56sol,S127,none,True
gpt56sol,S128,art5,False
gpt56sol,S129,art5,False
gpt56sol,S130,none,True
gpt56sol,S131,none,True
gpt56sol,S132,none,True
gpt56sol,S133,none,True
gpt56sol,S134,art5,False
gpt56sol,S135,art5,False
gpt56sol,S136,art5,True
gpt56sol,S137,art5,False
gpt56sol,S138,none,True
gpt56sol,S139,none,True
gpt56sol,S140,annex_i,False
gpt56sol,S141,none,True
gpt56sol,S142,none,True
gpt56sol,S143,art5,False
gpt56sol,S144,none,True
gpt56sol,S145,none,True
gpt56sol,S146,none,True
gpt56sol,S147,none,True
gpt56sol,S148,none,True
gpt56sol,S149,none,True
gpt56sol,S150,none,True
grok46,S001,none,True
grok46,S002,none,True
grok46,S003,none,True
grok46,S004,none,True
grok46,S005,annex_iii,False
grok46,S006,none,True
grok46,S007,annex_iii,False
grok46,S008,none,True
grok46,S009,none,True
grok46,S010,derogation,True
grok46,S011,art5,False
grok46,S012,none,True
grok46,S013,annex_iii,False
grok46,S014,none,True
grok46,S015,none,True
grok46,S016,none,True
grok46,S017,annex_iii,False
grok46,S018,none,True
grok46,S020,none,True
grok46,S021,none,True
grok46,S022,none,True
grok46,S023,none,True
grok46,S024,annex_iii,False
grok46,S025,derogation,True
grok46,S027,none,True
grok46,S029,none,True
grok46,S030,none,True
grok46,S031,none,True
grok46,S032,art5,True
grok46,S033,art5,False
grok46,S034,none,True
grok46,S035,none,True
grok46,S036,art50,True
grok46,S037,none,True
grok46,S038,none,True
